hotelId,hotelName,hotelAddress,hotelNumRooms
38,EMBASSY SUITES BY HILTON WASHINGTON DC CONVENTION CENTER,900 10TH STREET NW,382
39,THE DISTRICT BY HILTON CLUB,1250 22ND STREET NW,318
40,"FAIRFIELD INN & SUITES WASHINGTON, DC/DOWNTOWN",500 H STREET NW,189
41,"FAIRFIELD INN & SUITES WASHINGTON, DC/NEW YORK AVENUE",2305 NEW YORK AVENUE NE,126
42,FOUR SEASONS HOTEL,2800 PENNSYLVANIA AVENUE NW,222
43,KELLOGG CONFERENCE HOTEL AT GALLAUDET UNIVERSITY,800 FLORIDA AVENUE NE,97
44,ARC THE.HOTEL,824 NEW HAMPSHIRE AVENUE NW,95
45,GEORGETOWN HILL INN,1832 WISCONSIN AVENUE NW,8
46,GEORGETOWN INN,1310 WISCONSIN AVENUE NW,96
47,GEORGETOWN SUITES HARBOUR,1000 29TH STREET NW,222
48,GEORGETOWN UNIVERSITY HOTEL & CONFERENCE CENTER,3800 RESERVOIR ROAD NW,146
49,GEORGETWON SUITES 30TH STREET,1111 30TH STREET NW,220
50,GRAND HYATT WASHINGTON,1000 H STREET NW,897
51,HAMILTON HOTEL WASHINGTON DC,1001 14TH STREET NW,301
52,INN AT DUPONT┬áSOUTH,1312 19TH STREET NW,8
53,INTERNATIONAL GUEST HOUSE,1441 KENNEDY STREET NW,12
54,"THE JEFFERSON, WASHINGTON, DC",1200 16TH STREET NW,96
55,JW MARRIOTT,1331 PENNSYLVANIA AVENUE NW,772
56,LEDROIT PARK BED AND BREAKFEAST,210 T STREET NW,2
57,"THE MADISON WASHINGTON DC, A HILTON HOTEL",1177 15TH STREET NW,365
58,MANDARIN ORIENTAL,1330 MARYLAND AVENUE SW,400
59,MARRIOTT AT METRO CENTER,775 12TH STREET NW,459
60,MELROSE GEORGETOWN HOTEL,2430 PENNSYLVANIA AVENUE NW,277
61,MORRISON-CLARK INN,1011 L STREET NW,114
62,MOTEL 6 WASHINGTON DC,6711 GEORGIA AVENUE NW,72
63,MOTEL 6 WASHINGTON DC - CONVENTION CENTER,1345 4TH STREET NE,33
64,OMNI SHOREHAM HOTEL,2500 CALVERT STREET NW,832
65,ONE WASHINGTON CIRCLE HOTEL,1 WASHINGTON CIRCLE NW,151
66,PARK HYATT WASHINGTON,1201 24TH STREET NW,216
67,PHOENIX PARK HOTEL,520 NORTH CAPITOL STREET NW,149
68,THE WINK WASHINGTON DC,1143 NEW HAMPSHIRE AVENUE NW,346
69,RENAISSANCE WASHINGTON DC DOWNTOWN,999 9TH STREET NW,807
70,"RESIDENCE INN WASHINGTON, DC DOWNTOWN",1199 VERMONT AVENUE NW,202
71,"RESIDENCE INN WASHINGTON, DC/DUPONT CIRCLE",2120 P STREET NW,107
72,"RESIDENCE INN WASHINGTON, DC/FOGGY BOTTOM",801 NEW HAMPSHIRE AVENUE NW,103
73,"RESIDENCE INN WASHINGTON, DC/CAPITOL",333 E STREET SW,233
74,"THE RITZ-CARLTON, WASHINGTON, D.C.",1150 22ND STREET NW,300
75,RITZ-CARLTON GEORGETOWN,3100 SOUTH STREET NW,86
76,THE RIVER INN,924 25TH STREET NW,125
77,SAINT GREGORY,2033 M STREET NW,155
78,KIMPTON GLOVER PARK HOTEL,2505 WISCONSIN AVENUE NW,150
79,"THE ST. REGIS WASHINGTON, D.C.",923 16TH STREET NW,193
80,STATE PLAZA HOTEL,2117 E STREET NW,460
81,SWANN HOUSE LLC,1808 NEW HAMPSHIRE AVENUE NW,12
82,TABARD INN,1739 N STREET NW,40
83,THE BARON HOTEL,1523 22ND STREET NW,53
84,THE CONCORDIA,1250 NEW HAMPSHIRE AVENUE NW,121
85,THE DUPONT CIRCLE HOTEL,1500 NEW HAMPSHIRE AVENUE NW,327
86,THE ELDON LUXURY SUITES,933 L STREET NW,50
87,THE EMBASSY INN HOTEL,1627 16TH STREET NW,39
88,THE FAIRFAX AT EMBASSY ROW,2100 MASSACHUSETTS AVENUE NW,259
89,THE FAIRMONT,2401 M STREET NW,415
90,THE GRAHAM GEORGETOWN,1075 THOMAS JEFFERSON STREET NW,57
91,THE KALORAMA GUEST HOUSE,2700 CATHEDRAL AVENUE NW,11
92,THE LIASON CAPITOL HILL,415 NEW JERSEY AVENUE NW,343
